# Octopus per-turn geometric emittance, aspect=1.0 xi=0.005
turn	ex	ey
4096	2.0435194814088418e-8	2.0432258026318025e-8
4104	2.043451544893093e-8	2.0432709798396433e-8
4112	2.0434066725821246e-8	2.0433928200260496e-8
4120	2.0434130771204167e-8	2.0432623173567193e-8
4128	2.0434942752681986e-8	2.0431777994753934e-8
4136	2.0435681623601712e-8	2.0431998678104935e-8
4144	2.0435675058106673e-8	2.043165009221141e-8
4152	2.043517009148778e-8	2.0432143723336272e-8
4160	2.0434771345714506e-8	2.0433376887696024e-8
4168	2.0435058824515264e-8	2.043342568121056e-8
4176	2.043587489656843e-8	2.0431872394261606e-8
